112,318
89,378
74,447
65,517
63,592
76,659
115,712
172,749
254,776
356,788
468,793
575,781
660,746
714,683
751,602
779,519
803,436
144,170
171,128
215,110
263,116
306,141
429,148
497,133
570,143
634,180
674,241
343,238
320,261
296,283
271,308
237,410
259,415
280,420
316,427
354,433
175,268
205,244
246,246
281,279
242,285
200,280
458,289
502,264
549,273
588,306
544,311
496,304
179,559
203,499
238,469
258,481
283,479
334,528
395,600
322,596
269,583
243,577
220,571
193,564
197,549
236,523
257,527
280,533
369,587
275,537
252,530
230,525
